=== Svarog Tracer Debug Export ===

--- 2-str ---
[9:14:49 PM] 2-str → pred: 41 (81%) | alt: 42 (23%) | mode: BBP-mode (12/19 = 63%) | actual: 41 | ctx: 41, 41, 41, 44, 41, 42, 41, 42

[9:14:38 PM] 2-str → pred: 41 (94%) | alt: 42 (25%) | mode: BBP-mode (12/19 = 63%) | actual: 41 | ctx: 41, 41, 41, 44, 41, 42, 41, 42

[9:14:16 PM] 2-str → pred: 41 (82%) | alt: 42 (18%) | mode: BBP-mode (12/19 = 63%) | actual: 42 | ctx: 41, 41, 41, 44, 41, 42, 41, 42

[9:13:57 PM] 2-str → pred: 41 (83%) | alt: 42 (20%) | mode: BBP-mode (12/19 = 63%) | actual: 41 | ctx: 41, 41, 41, 44, 41, 42, 41, 42

[9:13:27 PM] 2-str → pred: 41 (83%) | alt: 42 (22%) | mode: BBP-mode (12/19 = 63%) | actual: 44 | ctx: 41, 41, 41, 44, 41, 42, 41, 42

[9:12:40 PM] 2-str → pred: 41 (95%) | alt: 42 (25%) | mode: BBP-mode (12/19 = 63%) | actual: 43 | ctx: 41, 41, 41, 44, 41, 42, 41, 42

[9:12:20 PM] 2-str → pred: 41 (89%) | alt: 42 (29%) | mode: BBP-mode (12/19 = 63%) | actual: 41 | ctx: 41, 41, 44, 41, 42, 41, 42

[9:11:37 PM] 2-str → pred: 41 (95%) | alt: 42 (33%) | mode: BBP-mode (12/19 = 63%) | actual: 41 | ctx: 41, 44, 41, 42, 41, 42

[9:11:18 PM] 2-str → pred: 41 (47%) | alt: 42 (25%) | mode: kiyo-2str-weak-live (1/2 = 50%) | actual: 41 | ctx: 44, 41, 42, 41, 42

[9:11:10 PM] 2-str → pred: 41 (47%) | alt: 42 (25%) | mode: kiyo-2str-weak-live (1/2 = 50%) | actual: 44 | ctx: 41, 42, 41, 42

[9:10:56 PM] 2-str → pred: 42 (44%) | alt: 43 (34%) | mode: kiyo-2str-sheet-only (7/8 = 88%) | actual: 41 | ctx: 42, 41, 42

[9:10:48 PM] 2-str → pred: 42 (44%) | alt: 43 (34%) | mode: kiyo-2str-sheet-only (7/8 = 88%) | actual: 42 | ctx: 41, 42

[9:09:53 PM] 2-str → pred: 42 (80%) | alt: 43 (25%) | mode: BBP-mode (12/19 = 63%) | actual: 43 | ctx: 44, 42, 42, 43, 43, 43, 41, 42

[9:09:35 PM] 2-str → pred: 42 (64%) | alt: 43 (27%) | mode: BBP-mode (12/19 = 63%) | actual: 42 | ctx: 44, 42, 42, 43, 43, 43, 41, 42

[9:09:01 PM] 2-str → pred: 42 (80%) | alt: 43 (30%) | mode: BBP-mode (12/19 = 63%) | actual: 42 | ctx: 44, 42, 42, 43, 43, 43, 41, 42

[9:08:23 PM] 2-str → pred: 42 (80%) | alt: 43 (33%) | mode: BBP-mode (12/19 = 63%) | actual: 44 | ctx: 44, 42, 42, 43, 43, 43, 41, 42

[9:07:43 PM] 2-str → pred: 42 (80%) | alt: 43 (38%) | mode: BBP-mode (12/19 = 63%) | actual: 41 | ctx: 44, 42, 42, 43, 43, 43, 41, 42

[9:07:23 PM] 2-str → pred: 42 (84%) | alt: 43 (43%) | mode: BBP-mode (12/19 = 63%) | actual: 44 | ctx: 42, 42, 43, 43, 43, 41, 42

[9:06:43 PM] 2-str → pred: 43 (87%) | alt: 42 (33%) | mode: BBP-mode (12/19 = 63%) | actual: 42 | ctx: 42, 43, 43, 43, 41, 42

[9:06:33 PM] 2-str → pred: 42 (44%) | alt: 43 (34%) | mode: kiyo-2str-sheet-only (7/8 = 88%) | actual: 42 | ctx: 43, 43, 43, 41, 42

[9:06:21 PM] 2-str → pred: 42 (44%) | alt: 43 (34%) | mode: kiyo-2str-sheet-only (7/8 = 88%) | actual: 43 | ctx: 43, 43, 41, 42

[9:06:04 PM] 2-str → pred: 42 (44%) | alt: 43 (34%) | mode: kiyo-2str-sheet-only (7/8 = 88%) | actual: 43 | ctx: 43, 41, 42

[9:05:43 PM] 2-str → pred: 42 (44%) | alt: 43 (34%) | mode: kiyo-2str-sheet-only (7/8 = 88%) | actual: 43 | ctx: 41, 42

[9:04:34 PM] 2-str → pred: 43 (83%) | alt: 41 (22%) | mode: BBP-mode (12/19 = 63%) | actual: 43 | ctx: 42, 41, 41, 43, 43, 43, 43, 43

[9:04:02 PM] 2-str → pred: 43 (95%) | alt: 41 (25%) | mode: BBP-mode (12/19 = 63%) | actual: 44 | ctx: 42, 41, 41, 43, 43, 43, 43, 43

[9:03:07 PM] 2-str → pred: 43 (95%) | alt: 41 (29%) | mode: BBP-mode (12/19 = 63%) | actual: 42 | ctx: 41, 41, 43, 43, 43, 43, 43

[9:02:11 PM] 2-str → pred: 43 (95%) | alt: 41 (17%) | mode: BBP-mode (12/19 = 63%) | actual: 41 | ctx: 41, 43, 43, 43, 43, 43

[9:01:43 PM] 2-str → pred: 43 (77%) | alt: 44 (21%) | mode: kiyo-2str-moderate-live (1/2 = 50%) | actual: 41 | ctx: 43, 43, 43, 43, 43

[9:01:10 PM] 2-str → pred: 43 (77%) | alt: 44 (21%) | mode: kiyo-2str-moderate-live (1/2 = 50%) | actual: 43 | ctx: 43, 43, 43, 43

[9:00:56 PM] 2-str → pred: 44 (60%) | alt: 43 (22%) | mode: kiyo-2str-sheet-only (7/8 = 88%) | actual: 43 | ctx: 43, 43, 43

[9:00:42 PM] 2-str → pred: 44 (60%) | alt: 43 (22%) | mode: kiyo-2str-sheet-only (7/8 = 88%) | actual: 43 | ctx: 43, 43


--- 3-str ---
[9:14:49 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:14:38 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:14:16 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 42 | ctx: 

[9:13:57 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:13:27 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 44 | ctx: 

[9:12:40 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 43 | ctx: 

[9:12:20 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:11:37 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:11:18 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:11:10 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 44 | ctx: 

[9:10:56 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:10:48 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 42 | ctx: 

[9:10:38 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:10:30 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 42 | ctx: 

[9:09:53 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 43 | ctx: 

[9:09:35 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 42 | ctx: 

[9:09:01 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 42 | ctx: 

[9:08:23 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 44 | ctx: 

[9:07:43 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:07:23 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 44 | ctx: 

[9:06:43 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 42 | ctx: 

[9:06:33 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 42 | ctx: 

[9:06:21 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 43 | ctx: 

[9:06:04 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 43 | ctx: 

[9:05:43 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 43 | ctx: 

[9:05:29 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:05:22 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 42 | ctx: 

[9:04:34 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 43 | ctx: 

[9:04:02 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 44 | ctx: 

[9:03:07 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 42 | ctx: 

[9:02:11 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:01:43 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:01:10 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 43 | ctx: 

[9:00:56 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 43 | ctx: 

[9:00:42 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 43 | ctx: 

[9:00:31 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 43 | ctx: 

[9:00:14 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 43 | ctx: 


--- 4-str ---
(none)


--- merged (all) ---
[9:14:49 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:14:49 PM] 2-str → pred: 41 (81%) | alt: 42 (23%) | mode: BBP-mode (12/19 = 63%) | actual: 41 | ctx: 41, 41, 41, 44, 41, 42, 41, 42

[9:14:38 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:14:38 PM] 2-str → pred: 41 (94%) | alt: 42 (25%) | mode: BBP-mode (12/19 = 63%) | actual: 41 | ctx: 41, 41, 41, 44, 41, 42, 41, 42

[9:14:16 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 42 | ctx: 

[9:14:16 PM] 2-str → pred: 41 (82%) | alt: 42 (18%) | mode: BBP-mode (12/19 = 63%) | actual: 42 | ctx: 41, 41, 41, 44, 41, 42, 41, 42

[9:13:57 PM] 3-str → pred: — (0%) | mode: insufficient-data-3str (0/37 = 0%) | actual: 41 | ctx: 

[9:13:57 PM] 2-str → pred: 41 (83%) | alt: 42 (20%) | mode: BBP-mode (12/19 = 63%) | actual: 41 | ctx: 41, 41, 41, 44, 41, 42, 41, 42

