# of Banners	Versions	Characters
1	1	Seele
1	1	Jing Yuan
1	1.1	Silver Wolf
1	1.1	Luocha
1	1.2	Blade
1	1.2	Kafka
1	1.3	Imbibitor Lunae
1	1.3	Fu Xuan
1	1.4	Jingliu
2	1.4	Seele
1	1.4	Topaz
1	1.5	Huohuo
2	1.5	Silver Wolf
1	1.5	Argenti
1	1.6	Ruan Mei
2	1.6	Blade
1	1.6	Dr. Ratio
2	1.6	Kafka
1	2	Black Swan
2	2	Imbibitor Lunae
1	2	Sparkle
2	2	Jing Yuan
1	2.1	Acheron
2	2.1	Luocha
1	2.1	Aventurine
2	2.1	Jingliu
1	2.2	Robin
2	2.2	Topaz
1	2.2	Boothill
2	2.2	Fu Xuan
1	2.3	Firefly
2	2.3	Ruan Mei
1	2.3	Jade
2	2.3	Argenti
1	2.4	Yunli
2	2.4	Huohuo
1	2.4	Jiaoqiu
2	2.4	Sparkle
1	2.5	Feixiao
2	2.5	Black Swan
3	2.5	Kafka
2	2.5	Robin
1	2.5	Lingsha
3	2.5	Topaz
1	2.6	Rappa
3	2.6	Imbibitor Lunae
2	2.6	Acheron
2	2.6	Aventurine
1	2.7	Sunday
3	2.7	Jing Yuan
1	2.7	Fugue
2	2.7	Firefly
1	3	The Herta
2	3	Lingsha
2	3	Feixiao
2	3	Jade
1	3	Aglaea
2	3	Boothill
3	3	Silver Wolf
3	3	Robin
1	3.1	Tribbie
2	3.1	Yunli
1	3.1	Mydei
3	3.1	Huohuo
1	3.2	Castorice
2	3.2	Fugue
3	3.2	Acheron
2	3.2	Jiaoqiu
1	3.2	Anaxa
2	3.2	Dr. Ratio
1	3.3	Hyacine
2	3.3	The Herta
1	3.3	Cipher
2	3.3	Aglaea
1	3.4	Phainon
1	3.4	Saber
1	3.4	Archer
2	3.4	Tribbie
2	3.4	Sunday
3	3.4	Sparkle
3	3.4	Blade
3	3.4	Jingliu
3	3.4	Firefly
1	3.5	Hysilens
4	3.5	Kafka
1	3.5	Cerydra
4	3.5	Silver Wolf
1	3.6	Evernight
3	3.6	The Herta
1	3.6	Dan Heng PT
2	3.6	Anaxa
1	3.7	Cyrene
2	3.7	Hyacine
2	3.7	Castorice
3	3.7	Tribbie
2	3.7	Phainon
2	3.7	Cipher
2	3.7	Mydei
1	3.8	The Dahlia
4	3.8	Firefly
3	3.8	Fugue
3	3.8	Lingsha
3	3.8	Sunday
3	3.8	Aglaea
